B3C0+7 城 ⿰⿱十一⿵戊𠃌
B3C0+8 橙 ⿰木⿱癶豆
B3C0+9 成 ⿵戊𠃌
B3C0+A 呈 ⿱口⿱一土
B3C0+B 乘 ⿻⿱丿木⿰③匕
B3C0+C 程 ⿰⿱丿木⿱口王
B3C0+D 惩 ⿱⿰彳正心
B3C0+E 澄 ⿰氵⿱癶豆
B3C0+F 诚 ⿰讠⿵戊𠃌
B3D0+0 承 承
B3D0+1 逞 ⿺辶⿱口王
B3D0+2 骋 ⿰⿹②一甹
B3D0+3 秤 ⿰⿱丿木⿻干丷
B3D0+4 吃 ⿰口⿱𠂉乙
B3D0+5 痴 ⿸疒⿰矢口
B3D0+6 持 ⿰扌⿱土寸
B3D0+7 匙 ⿺⿱日𤴓⿺乚丿
B3D0+8 池 ⿰氵也
B3D0+9 迟 ⿺辶尺
B3D0+A 弛 ⿰弓也
B3D0+B 驰 ⿰⿹②一也
B3D0+C 耻 ⿰耳止
B3D0+D 齿 齿
B3D0+E 侈 ⿰亻⿱夕夕
B3D0+F 尺 尺
B3E0+0 赤 ⿱⿱十一④
B3E0+1 翅 ⿺⿱十又⿰习习
B3E0+2 斥 ⿻⿸𠂆丅丶
B3E0+3 炽 ⿰⿱八人⿱口八
B3E0+4 充 ⿱𠫓⿰丿乚
B3E0+5 冲 ⿰冫⿻口丨
B3E0+6 虫 虫
B3E0+7 崇 ⿱山⿱宀示
B3E0+8 宠 ⿱宀⿻尤丿
B3E0+9 抽 ⿰扌由
B3E0+A 酬 ⿰酉州
B3E0+B 畴 ⿰田⿸丰寸
B3E0+C 踌 ⿰𧾷⿸丰寸
B3E0+D 稠 ⿰⿱丿木⿵⺆𠮷
B3E0+E 愁 ⿱⿰禾火心
B3E0+F 筹 ⿱⿰亇亇⿸丰寸
B3F0+0 仇 ⿰亻九
B3F0+1 绸 ⿰纟⿵⺆𠮷
B3F0+2 瞅 ⿰目⿰禾火
B3F0+3 丑 丑
B3F0+4 臭 ⿱自犬
B3F0+5 初 ⿰衤⿹𠃌丿
B3F0+6 出 ⿱⿻凵丨凵
B3F0+7 橱 ⿰木⿸厂𭔰
B3F0+8 厨 ⿸厂𭔰
B3F0+9 躇 ⿰𧾷⿱艹者
B3F0+A 锄 ⿰钅⿰且力
B3F0+B 雏 ⿰⿱𠂊彐隹
B3F0+C 滁 ⿰氵⿰阝余
B3F0+D 除 ⿰阝⿱亼朩
B3F0+E 楚 ⿱⿰木木疋
B4A0+1 础 ⿰⿸丆口⿱屮凵
B4A0+2 储 ⿰亻⿰讠者
B4A0+3 矗 ⿱⿱十⿴且一⿰⿱十⿴且一⿱十⿴且一
B4A0+4 搐 ⿰扌⿱玄田
B4A0+5 触 ⿰角虫
B4A0+6 处 ⿺夂卜
B4A0+7 揣 ⿰扌耑
B4A0+8 川 川
B4A0+9 穿 ⿱⿱宀八牙
B4A0+A 椽 ⿰木⿱彑𧰨
B4A0+B 传 ⿰亻专
B4A0+C 船 ⿰舟⿱𠘧口
B4A0+D 喘 ⿰口耑
B4A0+E 串 ⿻⿱口口丨
B4A0+F 疮 ⿸疒⿱人㔾
B4B0+0 窗 ⿱⿱宀八⿴⿱丿囗夂
B4B0+1 幢 ⿰巾⿱立里
B4B0+2 床 ⿸广木
B4B0+3 闯 ⿵门⿹②一
B4B0+4 创 ⿰⿱人㔾刂
B4B0+5 吹 ⿰口欠
B4B0+6 炊 ⿰⿱八人欠
